Time,Susceptible,Exposed,Infectious,Recovered,Total Infected
0.00,9998.00,1.00,1.00,0.00,2.00
0.01,9998.00,1.00,1.00,0.00,2.00
0.02,9997.99,1.01,1.00,0.00,2.01
0.03,9997.98,1.01,1.00,0.00,2.01
0.04,9997.98,1.02,1.00,0.00,2.02
0.05,9997.97,1.02,1.00,0.00,2.02
0.06,9997.97,1.02,1.00,0.00,2.03
0.07,9997.96,1.03,1.00,0.00,2.03
0.08,9997.96,1.03,1.00,0.00,2.04
0.09,9997.95,1.04,1.00,0.00,2.04
0.10,9997.95,1.04,1.01,0.01,2.05
0.11,9997.94,1.04,1.01,0.01,2.05
0.12,9997.94,1.05,1.01,0.01,2.05
0.13,9997.93,1.05,1.01,0.01,2.06
0.14,9997.93,1.06,1.01,0.01,2.06
0.15,9997.92,1.06,1.01,0.01,2.07
0.16,9997.92,1.06,1.01,0.01,2.07
0.17,9997.91,1.07,1.01,0.01,2.08
0.18,9997.91,1.07,1.01,0.01,2.08
0.19,9997.90,1.08,1.01,0.01,2.09
0.20,9997.90,1.08,1.01,0.01,2.09
0.21,9997.89,1.08,1.01,0.01,2.09
0.22,9997.89,1.09,1.01,0.01,2.10
0.23,9997.88,1.09,1.01,0.01,2.10
0.24,9997.88,1.10,1.01,0.01,2.11
0.25,9997.87,1.10,1.01,0.01,2.11
0.26,9997.87,1.10,1.01,0.01,2.12
0.27,9997.86,1.11,1.01,0.01,2.12
0.28,9997.86,1.11,1.02,0.01,2.13
0.29,9997.85,1.12,1.02,0.01,2.13
0.30,9997.85,1.12,1.02,0.02,2.14
0.31,9997.84,1.12,1.02,0.02,2.14
0.32,9997.84,1.13,1.02,0.02,2.15
0.33,9997.83,1.13,1.02,0.02,2.15
0.34,9997.83,1.14,1.02,0.02,2.15
0.35,9997.82,1.14,1.02,0.02,2.16
0.36,9997.82,1.14,1.02,0.02,2.16
0.37,9997.81,1.15,1.02,0.02,2.17
0.38,9997.81,1.15,1.02,0.02,2.17
0.39,9997.80,1.16,1.02,0.02,2.18
0.40,9997.80,1.16,1.02,0.02,2.18
0.41,9997.79,1.16,1.02,0.02,2.19
0.42,9997.79,1.17,1.02,0.02,2.19
0.43,9997.78,1.17,1.02,0.02,2.20
0.44,9997.78,1.17,1.03,0.02,2.20
0.45,9997.77,1.18,1.03,0.02,2.20
0.46,9997.77,1.18,1.03,0.02,2.21
0.47,9997.76,1.19,1.03,0.02,2.21
0.48,9997.76,1.19,1.03,0.02,2.22
0.49,9997.75,1.19,1.03,0.02,2.22
0.50,9997.75,1.20,1.03,0.03,2.23
0.51,9997.74,1.20,1.03,0.03,2.23
0.52,9997.74,1.21,1.03,0.03,2.24
0.53,9997.73,1.21,1.03,0.03,2.24
0.54,9997.73,1.21,1.03,0.03,2.25
0.55,9997.72,1.22,1.03,0.03,2.25
0.56,9997.72,1.22,1.03,0.03,2.26
0.57,9997.71,1.23,1.03,0.03,2.26
0.58,9997.71,1.23,1.04,0.03,2.27
0.59,9997.70,1.23,1.04,0.03,2.27
0.60,9997.70,1.24,1.04,0.03,2.27
0.61,9997.69,1.24,1.04,0.03,2.28
0.62,9997.68,1.25,1.04,0.03,2.28
0.63,9997.68,1.25,1.04,0.03,2.29
0.64,9997.67,1.25,1.04,0.03,2.29
0.65,9997.67,1.26,1.04,0.03,2.30
0.66,9997.66,1.26,1.04,0.03,2.30
0.67,9997.66,1.27,1.04,0.03,2.31
