Time,Susceptible,Infectious
0,0.99,0.01
0.1,0.989803,0.010197
0.2,0.989602,0.0103978
0.3,0.989397,0.0106025
0.4,0.989189,0.0108112
0.5,0.988976,0.0110239
0.6,0.988759,0.0112408
0.7,0.988538,0.0114618
0.8,0.988313,0.0116871
0.9,0.988083,0.0119167
1,0.987849,0.0121508
1.1,0.987611,0.0123894
1.2,0.987367,0.0126326
1.3,0.98712,0.0128804
1.4,0.986867,0.0131331
1.5,0.986609,0.0133906
1.6,0.986347,0.013653
1.7,0.98608,0.0139205
1.8,0.985807,0.014193
1.9,0.985529,0.0144709
2,0.985246,0.014754
2.1,0.984957,0.0150425
2.2,0.984663,0.0153366
2.3,0.984364,0.0156363
2.4,0.984058,0.0159417
2.5,0.983747,0.0162529
2.6,0.98343,0.01657
2.7,0.983107,0.0168932
2.8,0.982778,0.0172225
2.9,0.982442,0.017558
3,0.9821,0.0179
3.1,0.981752,0.0182483
3.2,0.981397,0.0186033
3.3,0.981035,0.018965
3.4,0.980666,0.0193335
3.5,0.980291,0.019709
3.6,0.979909,0.0200915
3.7,0.979519,0.0204812
3.8,0.979122,0.0208782
3.9,0.978717,0.0212827
4,0.978305,0.0216948
4.1,0.977885,0.0221146
4.2,0.977458,0.0225422
4.3,0.977022,0.0229778
4.4,0.976578,0.0234215
4.5,0.976127,0.0238735
4.6,0.975666,0.0243339
4.7,0.975197,0.0248028
4.8,0.97472,0.0252804
4.9,0.974233,0.0257668
5,0.973738,0.0262622
5.1,0.973233,0.0267668
5.2,0.972719,0.0272806
5.3,0.972196,0.0278039
5.4,0.971663,0.0283368
5.5,0.971121,0.0288794
5.6,0.970568,0.029432
5.7,0.970005,0.0299947
5.8,0.969432,0.0305676
5.9,0.968849,0.0311509
6,0.968255,0.0317448
6.1,0.967651,0.0323495
6.2,0.967035,0.032965
6.3,0.966408,0.0335917
6.4,0.96577,0.0342297
6.5,0.965121,0.0348792
6.6,0.96446,0.0355403
6.7,0.963787,0.0362132
6.8,0.963102,0.0368981
6.9,0.962405,0.0375952
7,0.961695,0.0383047
7.1,0.960973,0.0390268
7.2,0.960238,0.0397616
7.3,0.959491,0.0405094
7.4,0.95873,0.0412704
7.5,0.957955,0.0420447
7.6,0.957167,0.0428326
7.7,0.956366,0.0436342
7.8,0.95555,0.0444497
7.9,0.954721,0.0452795
8,0.953876,0.0461236
8.1,0.953018,0.0469822
8.2,0.952144,0.0478556
8.3,0.951256,0.048744
8.4,0.950352,0.0496476
8.5,0.949433,0.0505666
8.6,0.948499,0.0515013
8.7,0.947548,0.0524517
8.8,0.946582,0.0534182
8.9,0.945599,0.054401
9,0.9446,0.0554002
9.1,0.943584,0.0564161
9.2,0.942551,0.057449
9.3,0.941501,0.0584989
9.4,0.940434,0.0595663
9.5,0.939349,0.0606511
9.6,0.938246,0.0617538
9.7,0.937126,0.0628745
9.8,0.935987,0.0640134
9.9,0.934829,0.0651707
10,0.933653,0.0663467
