Step,Susceptible,Infected,Recovered,Vaccinated
0,66,4,0,30
1,62,8,0,30
2,58,12,0,30
3,56,14,0,30
4,52,17,1,30
5,51,18,1,30
6,46,23,1,30
7,46,22,2,30
8,45,23,2,30
9,45,23,2,30
10,45,23,2,30
11,43,25,2,30
12,41,27,2,30
13,40,28,2,30
14,39,29,2,30
15,38,30,2,30
16,36,32,2,30
17,35,33,2,30
18,34,34,2,30
19,34,34,2,30
20,34,34,2,30
21,34,33,3,30
22,32,34,4,30
23,32,34,4,30
24,31,35,4,30
25,31,35,4,30
26,30,35,5,30
27,30,34,6,30
28,27,37,6,30
29,26,36,8,30
30,24,37,9,30
31,24,37,9,30
32,22,39,9,30
33,18,42,10,30
34,17,41,12,30
35,17,41,12,30
36,17,40,13,30
37,17,39,14,30
38,17,39,14,30
39,17,39,14,30
40,15,41,14,30
41,15,41,14,30
42,15,41,14,30
43,15,39,16,30
44,13,40,17,30
45,12,40,18,30
46,11,41,18,30
47,11,41,18,30
48,9,43,18,30
49,9,42,19,30
50,8,42,20,30
51,8,41,21,30
52,8,40,22,30
53,8,39,23,30
54,7,40,23,30
55,7,40,23,30
56,7,39,24,30
57,7,39,24,30
58,6,40,24,30
59,5,40,25,30
60,5,40,25,30
61,5,40,25,30
62,5,40,25,30
63,5,40,25,30
64,5,40,25,30
65,4,40,26,30
66,4,38,28,30
67,4,38,28,30
68,4,37,29,30
69,4,36,30,30
70,4,36,30,30
71,4,36,30,30
72,4,36,30,30
73,4,36,30,30
74,4,36,30,30
75,4,36,30,30
76,4,36,30,30
77,4,36,30,30
78,4,35,31,30
79,4,34,32,30
80,4,33,33,30
81,4,33,33,30
82,4,32,34,30
83,4,31,35,30
84,4,31,35,30
85,3,32,35,30
86,2,33,35,30
87,2,32,36,30
88,2,31,37,30
89,2,31,37,30
90,2,31,37,30
91,2,31,37,30
92,2,31,37,30
93,2,31,37,30
94,2,31,37,30
95,2,31,37,30
96,2,31,37,30
97,2,31,37,30
98,2,30,38,30
99,2,30,38,30
