Time,Susceptible,Exposed,Infected,Recovered
0,999.000000,0.000000,1.000000,0.000000
1,998.712243,0.261453,0.930276,0.096029
2,998.437751,0.465317,0.909275,0.187657
3,998.164015,0.632989,0.923939,0.279057
4,997.881734,0.779222,0.965706,0.373338
5,997.583688,0.914310,1.029090,0.472912
6,997.263974,1.045557,1.110710,0.579759
7,996.917477,1.178280,1.208648,0.695595
8,996.539501,1.316488,1.322011,0.822000
9,996.125513,1.463344,1.450639,0.960504
10,995.670953,1.621485,1.594913,1.112648
11,995.171096,1.793240,1.755631,1.280034
12,994.620942,1.980777,1.933922,1.464359
13,994.015131,2.186220,2.131200,1.667450
14,993.347864,2.411717,2.349133,1.891287
15,992.612835,2.659503,2.589633,2.138028
16,991.803169,2.931946,2.854849,2.410036
17,990.911351,3.231575,3.147174,2.709901
18,989.929167,3.561118,3.469253,3.040462
19,988.847635,3.923524,3.824001,3.404840
20,987.656937,4.321990,4.214616,3.806457
21,986.346346,4.759978,4.644602,4.249074
22,984.904153,5.241241,5.117790,4.736817
23,983.317587,5.769841,5.638361,5.274210
24,981.572741,6.350169,6.210872,5.866219
25,979.654481,6.986958,6.840281,6.518280
26,977.546372,7.685302,7.531976,7.236350
27,975.230590,8.450668,8.291797,8.026944
28,972.687845,9.288903,9.126064,8.897189
29,969.897298,10.206237,10.041601,9.854864
30,966.836496,11.209283,11.045760,10.908461
31,963.481307,12.305025,12.146437,12.067231
32,959.805870,13.500796,13.352089,13.341245
33,955.782563,14.804253,14.671738,14.741446
34,951.381989,16.223323,16.114978,16.279709
35,946.572997,17.766146,17.691960,17.968897
36,941.322729,19.440987,19.413372,19.822912
37,935.596710,21.256135,21.290401,21.856755
38,929.358991,23.219767,23.334678,24.086564
39,922.572349,25.339787,25.558203,26.529661
40,915.198548,27.623631,27.973238,29.204583
41,907.198685,30.078036,30.592178,32.131101
42,898.533615,32.708775,33.427388,35.330223
43,889.164475,35.520344,36.490996,38.824186
44,879.053302,38.515624,39.794656,42.636418
45,868.163762,41.695502,43.349260,46.791476
46,856.461981,45.058455,47.164609,51.314955
47,843.917478,48.600127,51.249035,56.233360
48,830.504196,52.312883,55.608982,61.573939
49,816.201608,56.185379,60.248544,67.364469
50,800.995877,60.202149,65.168972,73.633001
51,784.881043,64.343253,70.368159,80.407545
52,767.860186,68.583995,75.840106,87.715714
53,749.946530,72.894758,81.574412,95.584300
54,731.164420,77.240978,87.555784,104.038818
55,711.550112,81.583289,93.763609,113.102990
