Time,Susceptible,Exposed,Infected,Recovered
0,999.000000,0.000000,1.000000,0.000000
1,999.113672,-0.103226,0.894738,0.094816
2,999.214311,-0.176526,0.783463,0.178752
3,999.301542,-0.224804,0.671764,0.251499
4,999.375575,-0.252636,0.563827,0.313234
5,999.437049,-0.264185,0.462644,0.364492
6,999.486899,-0.263154,0.370199,0.406056
7,999.526249,-0.252769,0.287656,0.438864
8,999.556321,-0.235779,0.215521,0.463936
9,999.578368,-0.214478,0.153793,0.482316
10,999.593618,-0.190738,0.102090,0.495030
11,999.603236,-0.166044,0.059761,0.503048
12,999.608297,-0.141540,0.025976,0.507267
13,999.609772,-0.118074,-0.000195,0.508497
14,999.608516,-0.096240,-0.019725,0.507450
15,999.605266,-0.076423,-0.033584,0.504741
16,999.600648,-0.058835,-0.042703,0.500890
17,999.595176,-0.043555,-0.047950,0.496329
18,999.589268,-0.030556,-0.050114,0.491403
19,999.583249,-0.019735,-0.049899,0.486385
20,999.577367,-0.010936,-0.047914,0.481482
21,999.571804,-0.003967,-0.044681,0.476844
22,999.566681,0.001381,-0.040634,0.472573
23,999.562074,0.005322,-0.036128,0.468732
24,999.558021,0.008070,-0.031444,0.465353
25,999.554529,0.009827,-0.026797,0.462442
26,999.551584,0.010779,-0.022349,0.459987
27,999.549155,0.011096,-0.018212,0.457961
28,999.547200,0.010927,-0.014458,0.456331
29,999.545670,0.010401,-0.011127,0.455056
30,999.544513,0.009629,-0.008233,0.454091
31,999.543677,0.008700,-0.005772,0.453395
32,999.543112,0.007689,-0.003724,0.452923
33,999.542769,0.006653,-0.002059,0.452637
34,999.542604,0.005636,-0.000740,0.452500
35,999.542579,0.004672,0.000271,0.452479
36,999.542658,0.003781,0.001016,0.452545
37,999.542813,0.002977,0.001535,0.452674
38,999.543019,0.002269,0.001866,0.452846
39,999.543255,0.001657,0.002046,0.453043
40,999.543505,0.001139,0.002105,0.453251
41,999.543756,0.000712,0.002072,0.453460
42,999.543999,0.000366,0.001971,0.453663
43,999.544227,0.000095,0.001825,0.453853
44,999.544436,-0.000111,0.001648,0.454027
45,999.544622,-0.000261,0.001456,0.454182
46,999.544785,-0.000363,0.001260,0.454318
47,999.544925,-0.000426,0.001067,0.454434
48,999.545041,-0.000458,0.000884,0.454532
49,999.545137,-0.000464,0.000715,0.454612
50,999.545214,-0.000452,0.000563,0.454676
51,999.545273,-0.000427,0.000429,0.454725
52,999.545317,-0.000392,0.000313,0.454762
53,999.545349,-0.000352,0.000215,0.454788
54,999.545370,-0.000309,0.000134,0.454806
55,999.545382,-0.000266,0.000069,0.454816
56,999.545387,-0.000224,0.000018,0.454820
57,999.545386,-0.000184,-0.000021,0.454819
58,999.545382,-0.000148,-0.000050,0.454816
59,999.545375,-0.000116,-0.000069,0.454810
60,999.545366,-0.000087,-0.000081,0.454802
61,999.545356,-0.000063,-0.000087,0.454794
62,999.545345,-0.000042,-0.000088,0.454785
63,999.545335,-0.000025,-0.000086,0.454776
64,999.545325,-0.000012,-0.000081,0.454768
65,999.545315,-0.000001,-0.000074,0.454760
66,999.545307,0.000007,-0.000067,0.454753
67,999.545299,0.000012,-0.000059,0.454747
68,999.545293,0.000016,-0.000050,0.454741
69,999.545287,0.000018,-0.000042,0.454737
70,999.545283,0.000019,-0.000035,0.454733
71,999.545279,0.000019,-0.000028,0.454730
72,999.545276,0.000019,-0.000022,0.454727
73,999.545274,0.000017,-0.000016,0.454725
74,999.545272,0.000016,-0.000012,0.454724
75,999.545271,0.000014,-0.000008,0.454723
76,999.545270,0.000012,-0.000005,0.454722
77,999.545270,0.000011,-0.000002,0.454722
78,999.545269,0.000009,-0.000000,0.454722
79,999.545269,0.000007,0.000001,0.454722
80,999.545270,0.000006,0.000002,0.454722
81,999.545270,0.000004,0.000003,0.454722
82,999.545270,0.000003,0.000003,0.454723
83,999.545271,0.000002,0.000004,0.454723
84,999.545271,0.000002,0.000004,0.454723
85,999.545272,0.000001,0.000004,0.454724
86,999.545272,0.000000,0.000003,0.454724
87,999.545273,-0.000000,0.000003,0.454725
88,999.545273,-0.000000,0.000003,0.454725
89,999.545273,-0.000001,0.000002,0.454725
90,999.545273,-0.000001,0.000002,0.454725
91,999.545274,-0.000001,0.000002,0.454725
92,999.545274,-0.000001,0.000001,0.454726
93,999.545274,-0.000001,0.000001,0.454726
94,999.545274,-0.000001,0.000001,0.454726
95,999.545274,-0.000001,0.000001,0.454726
96,999.545274,-0.000001,0.000000,0.454726
97,999.545274,-0.000001,0.000000,0.454726
98,999.545274,-0.000000,0.000000,0.454726
99,999.545274,-0.000000,0.000000,0.454726
100,999.545274,-0.000000,-0.000000,0.454726
101,999.545274,-0.000000,-0.000000,0.454726
102,999.545274,-0.000000,-0.000000,0.454726
103,999.545274,-0.000000,-0.000000,0.454726
104,999.545274,-0.000000,-0.000000,0.454726
105,999.545274,-0.000000,-0.000000,0.454726
106,999.545274,-0.000000,-0.000000,0.454726
107,999.545274,-0.000000,-0.000000,0.454726
108,999.545274,-0.000000,-0.000000,0.454726
109,999.545274,0.000000,-0.000000,0.454726
110,999.545274,0.000000,-0.000000,0.454726
111,999.545274,0.000000,-0.000000,0.454726
112,999.545274,0.000000,-0.000000,0.454726
113,999.545274,0.000000,-0.000000,0.454726
114,999.545274,0.000000,-0.000000,0.454726
115,999.545274,0.000000,-0.000000,0.454726
116,999.545274,0.000000,-0.000000,0.454726
117,999.545274,0.000000,-0.000000,0.454726
118,999.545274,0.000000,-0.000000,0.454726
119,999.545274,0.000000,-0.000000,0.454726
120,999.545274,0.000000,-0.000000,0.454726
121,999.545274,0.000000,-0.000000,0.454726
122,999.545274,0.000000,0.000000,0.454726
123,999.545274,0.000000,0.000000,0.454726
124,999.545274,0.000000,0.000000,0.454726
125,999.545274,0.000000,0.000000,0.454726
126,999.545274,0.000000,0.000000,0.454726
127,999.545274,0.000000,0.000000,0.454726
128,999.545274,0.000000,0.000000,0.454726
129,999.545274,0.000000,0.000000,0.454726
130,999.545274,0.000000,0.000000,0.454726
131,999.545274,-0.000000,0.000000,0.454726
132,999.545274,-0.000000,0.000000,0.454726
133,999.545274,-0.000000,0.000000,0.454726
134,999.545274,-0.000000,0.000000,0.454726
135,999.545274,-0.000000,0.000000,0.454726
136,999.545274,-0.000000,0.000000,0.454726
137,999.545274,-0.000000,0.000000,0.454726
138,999.545274,-0.000000,0.000000,0.454726
139,999.545274,-0.000000,0.000000,0.454726
140,999.545274,-0.000000,0.000000,0.454726
141,999.545274,-0.000000,0.000000,0.454726
142,999.545274,-0.000000,0.000000,0.454726
143,999.545274,-0.000000,0.000000,0.454726
144,999.545274,-0.000000,-0.000000,0.454726
145,999.545274,-0.000000,-0.000000,0.454726
146,999.545274,-0.000000,-0.000000,0.454726
147,999.545274,-0.000000,-0.000000,0.454726
148,999.545274,-0.000000,-0.000000,0.454726
149,999.545274,-0.000000,-0.000000,0.454726
150,999.545274,-0.000000,-0.000000,0.454726
151,999.545274,-0.000000,-0.000000,0.454726
152,999.545274,0.000000,-0.000000,0.454726
153,999.545274,0.000000,-0.000000,0.454726
154,999.545274,0.000000,-0.000000,0.454726
155,999.545274,0.000000,-0.000000,0.454726
156,999.545274,0.000000,-0.000000,0.454726
157,999.545274,0.000000,-0.000000,0.454726
158,999.545274,0.000000,-0.000000,0.454726
159,999.545274,0.000000,-0.000000,0.454726
160,999.545274,0.000000,-0.000000,0.454726
