Time,Susceptible,Exposed,Infectious,Recovered
0.0000,0.9400,0.0100,0.0500,0.0000
0.0100,0.9397,0.0103,0.0499,0.0001
0.0200,0.9394,0.0105,0.0498,0.0003
0.0300,0.9391,0.0108,0.0497,0.0004
0.0400,0.9388,0.0111,0.0496,0.0005
0.0500,0.9385,0.0114,0.0496,0.0006
0.0600,0.9381,0.0116,0.0495,0.0008
0.0700,0.9378,0.0119,0.0494,0.0009
0.0800,0.9375,0.0122,0.0493,0.0010
0.0900,0.9372,0.0124,0.0492,0.0011
0.1000,0.9369,0.0127,0.0491,0.0013
0.1100,0.9366,0.0129,0.0490,0.0014
0.1200,0.9363,0.0132,0.0489,0.0015
0.1300,0.9360,0.0135,0.0489,0.0017
0.1400,0.9357,0.0137,0.0488,0.0018
0.1500,0.9354,0.0140,0.0487,0.0019
0.1600,0.9351,0.0142,0.0486,0.0020
0.1700,0.9348,0.0145,0.0485,0.0022
0.1800,0.9345,0.0148,0.0484,0.0023
0.1900,0.9342,0.0150,0.0484,0.0024
0.2000,0.9339,0.0153,0.0483,0.0025
0.2100,0.9336,0.0155,0.0482,0.0027
0.2200,0.9333,0.0158,0.0481,0.0028
0.2300,0.9330,0.0160,0.0480,0.0029
0.2400,0.9327,0.0163,0.0480,0.0030
0.2500,0.9324,0.0165,0.0479,0.0032
0.2600,0.9321,0.0168,0.0478,0.0033
0.2700,0.9318,0.0170,0.0477,0.0034
0.2800,0.9315,0.0173,0.0476,0.0035
0.2900,0.9312,0.0175,0.0476,0.0036
0.3000,0.9309,0.0178,0.0475,0.0038
0.3100,0.9307,0.0180,0.0474,0.0039
0.3200,0.9304,0.0183,0.0473,0.0040
0.3300,0.9301,0.0185,0.0473,0.0041
0.3400,0.9298,0.0188,0.0472,0.0043
0.3500,0.9295,0.0190,0.0471,0.0044
0.3600,0.9292,0.0193,0.0470,0.0045
0.3700,0.9289,0.0195,0.0470,0.0046
0.3800,0.9286,0.0198,0.0469,0.0047
0.3900,0.9283,0.0200,0.0468,0.0049
0.4000,0.9280,0.0202,0.0467,0.0050
0.4100,0.9278,0.0205,0.0467,0.0051
0.4200,0.9275,0.0207,0.0466,0.0052
0.4300,0.9272,0.0210,0.0465,0.0054
0.4400,0.9269,0.0212,0.0464,0.0055
0.4500,0.9266,0.0214,0.0464,0.0056
0.4600,0.9263,0.0217,0.0463,0.0057
0.4700,0.9260,0.0219,0.0462,0.0058
0.4800,0.9257,0.0221,0.0462,0.0060
0.4900,0.9255,0.0224,0.0461,0.0061
0.5000,0.9252,0.0226,0.0460,0.0062
0.5100,0.9249,0.0228,0.0460,0.0063
