Time,Susceptible,Infectious,Recovered
0.0000,0.9900,0.0100,0.0000
0.0100,0.9900,0.0100,0.0000
0.0200,0.9900,0.0100,0.0000
0.0300,0.9899,0.0100,0.0000
0.0400,0.9899,0.0101,0.0000
0.0500,0.9899,0.0101,0.0001
0.0600,0.9899,0.0101,0.0001
0.0700,0.9898,0.0101,0.0001
0.0800,0.9898,0.0101,0.0001
0.0900,0.9898,0.0101,0.0001
0.1000,0.9898,0.0101,0.0001
0.1100,0.9897,0.0102,0.0001
0.1200,0.9897,0.0102,0.0001
0.1300,0.9897,0.0102,0.0001
0.1400,0.9897,0.0102,0.0001
0.1500,0.9896,0.0102,0.0002
0.1600,0.9896,0.0102,0.0002
0.1700,0.9896,0.0103,0.0002
0.1800,0.9895,0.0103,0.0002
0.1900,0.9895,0.0103,0.0002
0.2000,0.9895,0.0103,0.0002
0.2100,0.9895,0.0103,0.0002
0.2200,0.9894,0.0103,0.0002
0.2300,0.9894,0.0103,0.0002
0.2400,0.9894,0.0104,0.0002
0.2500,0.9894,0.0104,0.0003
0.2600,0.9893,0.0104,0.0003
0.2700,0.9893,0.0104,0.0003
0.2800,0.9893,0.0104,0.0003
0.2900,0.9893,0.0104,0.0003
0.3000,0.9892,0.0105,0.0003
0.3100,0.9892,0.0105,0.0003
0.3200,0.9892,0.0105,0.0003
0.3300,0.9892,0.0105,0.0003
0.3400,0.9891,0.0105,0.0003
0.3500,0.9891,0.0105,0.0004
0.3600,0.9891,0.0105,0.0004
0.3700,0.9891,0.0106,0.0004
0.3800,0.9890,0.0106,0.0004
0.3900,0.9890,0.0106,0.0004
0.4000,0.9890,0.0106,0.0004
0.4100,0.9890,0.0106,0.0004
0.4200,0.9889,0.0106,0.0004
0.4300,0.9889,0.0107,0.0004
0.4400,0.9889,0.0107,0.0005
0.4500,0.9889,0.0107,0.0005
0.4600,0.9888,0.0107,0.0005
0.4700,0.9888,0.0107,0.0005
0.4800,0.9888,0.0107,0.0005
0.4900,0.9887,0.0107,0.0005
0.5000,0.9887,0.0108,0.0005
0.5100,0.9887,0.0108,0.0005
0.5200,0.9887,0.0108,0.0005
0.5300,0.9886,0.0108,0.0006
0.5400,0.9886,0.0108,0.0006
0.5500,0.9886,0.0108,0.0006
0.5600,0.9886,0.0109,0.0006
0.5700,0.9885,0.0109,0.0006
0.5800,0.9885,0.0109,0.0006
0.5900,0.9885,0.0109,0.0006
0.6000,0.9884,0.0109,0.0006
0.6100,0.9884,0.0109,0.0006
0.6200,0.9884,0.0110,0.0006
0.6300,0.9884,0.0110,0.0007
0.6400,0.9883,0.0110,0.0007
0.6500,0.9883,0.0110,0.0007
0.6600,0.9883,0.0110,0.0007
0.6700,0.9883,0.0110,0.0007
0.6800,0.9882,0.0111,0.0007
0.6900,0.9882,0.0111,0.0007
0.7000,0.9882,0.0111,0.0007
0.7100,0.9882,0.0111,0.0007
0.7200,0.9881,0.0111,0.0008
0.7300,0.9881,0.0111,0.0008
0.7400,0.9881,0.0112,0.0008
0.7500,0.9880,0.0112,0.0008
0.7600,0.9880,0.0112,0.0008
0.7700,0.9880,0.0112,0.0008
0.7800,0.9880,0.0112,0.0008
0.7900,0.9879,0.0112,0.0008
0.8000,0.9879,0.0112,0.0008
0.8100,0.9879,0.0113,0.0009
0.8200,0.9878,0.0113,0.0009
0.8300,0.9878,0.0113,0.0009
0.8400,0.9878,0.0113,0.0009
0.8500,0.9878,0.0113,0.0009
0.8600,0.9877,0.0113,0.0009
0.8700,0.9877,0.0114,0.0009
0.8800,0.9877,0.0114,0.0009
0.8900,0.9877,0.0114,0.0010
0.9000,0.9876,0.0114,0.0010
0.9100,0.9876,0.0114,0.0010
0.9200,0.9876,0.0114,0.0010
0.9300,0.9875,0.0115,0.0010
0.9400,0.9875,0.0115,0.0010
0.9500,0.9875,0.0115,0.0010
0.9600,0.9875,0.0115,0.0010
0.9700,0.9874,0.0115,0.0010
0.9800,0.9874,0.0116,0.0011
0.9900,0.9874,0.0116,0.0011
1.0000,0.9873,0.0116,0.0011
1.0100,0.9873,0.0116,0.0011
1.0200,0.9873,0.0116,0.0011
1.0300,0.9873,0.0116,0.0011
1.0400,0.9872,0.0117,0.0011
1.0500,0.9872,0.0117,0.0011
1.0600,0.9872,0.0117,0.0011
1.0700,0.9871,0.0117,0.0012
1.0800,0.9871,0.0117,0.0012
1.0900,0.9871,0.0117,0.0012
1.1000,0.9871,0.0118,0.0012
1.1100,0.9870,0.0118,0.0012
1.1200,0.9870,0.0118,0.0012
1.1300,0.9870,0.0118,0.0012
1.1400,0.9869,0.0118,0.0012
1.1500,0.9869,0.0118,0.0013
1.1600,0.9869,0.0119,0.0013
1.1700,0.9868,0.0119,0.0013
1.1800,0.9868,0.0119,0.0013
1.1900,0.9868,0.0119,0.0013
1.2000,0.9868,0.0119,0.0013
1.2100,0.9867,0.0119,0.0013
1.2200,0.9867,0.0120,0.0013
1.2300,0.9867,0.0120,0.0013
1.2400,0.9866,0.0120,0.0014
1.2500,0.9866,0.0120,0.0014
1.2600,0.9866,0.0120,0.0014
