Time,Susceptible,Infectious
0,0.99,0.01
0.1,0.989461,0.0100444
0.2,0.988921,0.0100891
0.3,0.988382,0.0101339
0.4,0.987843,0.0101788
0.5,0.987304,0.010224
0.6,0.986765,0.0102693
0.7,0.986226,0.0103147
0.8,0.985687,0.0103604
0.9,0.985148,0.0104062
1,0.98461,0.0104522
1.1,0.984071,0.0104984
1.2,0.983533,0.0105448
1.3,0.982995,0.0105913
1.4,0.982457,0.010638
1.5,0.981918,0.0106849
1.6,0.98138,0.0107319
1.7,0.980842,0.0107792
1.8,0.980305,0.0108266
1.9,0.979767,0.0108742
2,0.979229,0.010922
2.1,0.978692,0.0109699
2.2,0.978154,0.0110181
2.3,0.977617,0.0110664
2.4,0.977079,0.0111149
2.5,0.976542,0.0111636
2.6,0.976005,0.0112125
2.7,0.975468,0.0112615
2.8,0.974931,0.0113108
2.9,0.974394,0.0113602
3,0.973857,0.0114098
3.1,0.973321,0.0114596
3.2,0.972784,0.0115096
3.3,0.972247,0.0115598
3.4,0.971711,0.0116101
3.5,0.971175,0.0116607
3.6,0.970638,0.0117114
3.7,0.970102,0.0117623
3.8,0.969566,0.0118134
3.9,0.96903,0.0118647
4,0.968494,0.0119162
4.1,0.967958,0.0119679
4.2,0.967422,0.0120198
4.3,0.966886,0.0120719
4.4,0.96635,0.0121241
4.5,0.965815,0.0121766
4.6,0.965279,0.0122292
4.7,0.964744,0.0122821
4.8,0.964208,0.0123351
4.9,0.963673,0.0123884
5,0.963138,0.0124418
5.1,0.962602,0.0124954
5.2,0.962067,0.0125493
5.3,0.961532,0.0126033
5.4,0.960997,0.0126575
5.5,0.960462,0.012712
5.6,0.959928,0.0127666
5.7,0.959393,0.0128214
5.8,0.958858,0.0128765
5.9,0.958323,0.0129317
6,0.957789,0.0129871
6.1,0.957254,0.0130428
6.2,0.95672,0.0130986
6.3,0.956185,0.0131546
6.4,0.955651,0.0132109
6.5,0.955117,0.0132674
6.6,0.954582,0.013324
6.7,0.954048,0.0133809
6.8,0.953514,0.013438
6.9,0.95298,0.0134952
7,0.952446,0.0135527
7.1,0.951912,0.0136104
7.2,0.951378,0.0136683
7.3,0.950845,0.0137265
7.4,0.950311,0.0137848
7.5,0.949777,0.0138433
7.6,0.949244,0.0139021
7.7,0.94871,0.013961
7.8,0.948176,0.0140202
7.9,0.947643,0.0140796
8,0.94711,0.0141392
8.1,0.946576,0.014199
8.2,0.946043,0.0142591
8.3,0.94551,0.0143193
8.4,0.944976,0.0143798
8.5,0.944443,0.0144405
8.6,0.94391,0.0145014
8.7,0.943377,0.0145625
8.8,0.942844,0.0146238
8.9,0.942311,0.0146854
9,0.941778,0.0147472
9.1,0.941245,0.0148092
9.2,0.940712,0.0148714
9.3,0.940179,0.0149338
9.4,0.939647,0.0149965
9.5,0.939114,0.0150594
9.6,0.938581,0.0151225
9.7,0.938049,0.0151858
9.8,0.937516,0.0152494
9.9,0.936984,0.0153132
10,0.936451,0.0153772
10.1,0.935919,0.0154414
10.2,0.935386,0.0155059
10.3,0.934854,0.0155706
10.4,0.934321,0.0156355
10.5,0.933789,0.0157006
10.6,0.933257,0.015766
10.7,0.932725,0.0158316
10.8,0.932192,0.0158975
10.9,0.93166,0.0159635
11,0.931128,0.0160298
11.1,0.930596,0.0160964
11.2,0.930064,0.0161632
11.3,0.929532,0.0162302
11.4,0.929,0.0162974
11.5,0.928468,0.0163649
11.6,0.927936,0.0164326
11.7,0.927404,0.0165005
11.8,0.926872,0.0165687
11.9,0.92634,0.0166371
12,0.925809,0.0167058
12.1,0.925277,0.0167747
12.2,0.924745,0.0168438
12.3,0.924213,0.0169132
12.4,0.923681,0.0169828
12.5,0.92315,0.0170527
12.6,0.922618,0.0171228
12.7,0.922086,0.0171932
12.8,0.921555,0.0172637
12.9,0.921023,0.0173346
13,0.920492,0.0174057
13.1,0.91996,0.017477
13.2,0.919428,0.0175486
13.3,0.918897,0.0176204
13.4,0.918365,0.0176924
13.5,0.917834,0.0177647
