Time,Susceptible,Infectious
0,0.99,0.01
0.1,0.98998,0.0100197
0.2,0.989961,0.0100394
0.3,0.989941,0.0100592
0.4,0.989921,0.010079
0.5,0.989901,0.0100989
0.6,0.989881,0.0101188
0.7,0.989861,0.0101387
0.8,0.989841,0.0101587
0.9,0.989821,0.0101787
1,0.989801,0.0101987
1.1,0.989781,0.0102188
1.2,0.989761,0.0102389
1.3,0.989741,0.0102591
1.4,0.989721,0.0102793
1.5,0.9897,0.0102995
1.6,0.98968,0.0103198
1.7,0.98966,0.0103401
1.8,0.989639,0.0103605
1.9,0.989619,0.0103809
2,0.989599,0.0104013
2.1,0.989578,0.0104218
2.2,0.989558,0.0104423
2.3,0.989537,0.0104629
2.4,0.989517,0.0104835
2.5,0.989496,0.0105041
2.6,0.989475,0.0105248
2.7,0.989454,0.0105455
2.8,0.989434,0.0105663
2.9,0.989413,0.0105871
3,0.989392,0.0106079
3.1,0.989371,0.0106288
3.2,0.98935,0.0106497
3.3,0.989329,0.0106707
3.4,0.989308,0.0106917
3.5,0.989287,0.0107127
3.6,0.989266,0.0107338
3.7,0.989245,0.0107549
3.8,0.989224,0.0107761
3.9,0.989203,0.0107973
4,0.989181,0.0108185
4.1,0.98916,0.0108398
4.2,0.989139,0.0108611
4.3,0.989117,0.0108825
4.4,0.989096,0.0109039
4.5,0.989075,0.0109254
4.6,0.989053,0.0109469
4.7,0.989032,0.0109684
4.8,0.98901,0.01099
4.9,0.988988,0.0110116
5,0.988967,0.0110333
5.1,0.988945,0.011055
5.2,0.988923,0.0110767
5.3,0.988902,0.0110985
5.4,0.98888,0.0111203
5.5,0.988858,0.0111422
5.6,0.988836,0.0111641
5.7,0.988814,0.011186
5.8,0.988792,0.011208
5.9,0.98877,0.0112301
6,0.988748,0.0112522
6.1,0.988726,0.0112743
6.2,0.988704,0.0112965
6.3,0.988681,0.0113187
6.4,0.988659,0.0113409
6.5,0.988637,0.0113632
6.6,0.988614,0.0113856
6.7,0.988592,0.0114079
6.8,0.98857,0.0114304
6.9,0.988547,0.0114528
7,0.988525,0.0114753
7.1,0.988502,0.0114979
7.2,0.98848,0.0115205
7.3,0.988457,0.0115431
7.4,0.988434,0.0115658
7.5,0.988411,0.0115886
7.6,0.988389,0.0116113
7.7,0.988366,0.0116341
7.8,0.988343,0.011657
7.9,0.98832,0.0116799
8,0.988297,0.0117029
8.1,0.988274,0.0117259
8.2,0.988251,0.0117489
8.3,0.988228,0.011772
8.4,0.988205,0.0117951
8.5,0.988182,0.0118183
8.6,0.988158,0.0118415
8.7,0.988135,0.0118648
8.8,0.988112,0.0118881
8.9,0.988089,0.0119114
9,0.988065,0.0119348
9.1,0.988042,0.0119583
9.2,0.988018,0.0119818
9.3,0.987995,0.0120053
9.4,0.987971,0.0120289
9.5,0.987948,0.0120525
9.6,0.987924,0.0120762
9.7,0.9879,0.0120999
9.8,0.987876,0.0121236
9.9,0.987853,0.0121474
10,0.987829,0.0121713
10.1,0.987805,0.0121952
10.2,0.987781,0.0122191
10.3,0.987757,0.0122431
10.4,0.987733,0.0122672
10.5,0.987709,0.0122912
10.6,0.987685,0.0123154
10.7,0.98766,0.0123395
10.8,0.987636,0.0123638
10.9,0.987612,0.012388
11,0.987588,0.0124124
11.1,0.987563,0.0124367
11.2,0.987539,0.0124611
11.3,0.987514,0.0124856
11.4,0.98749,0.0125101
11.5,0.987465,0.0125346
11.6,0.987441,0.0125592
11.7,0.987416,0.0125839
11.8,0.987391,0.0126086
11.9,0.987367,0.0126333
12,0.987342,0.0126581
12.1,0.987317,0.0126829
12.2,0.987292,0.0127078
12.3,0.987267,0.0127328
12.4,0.987242,0.0127577
12.5,0.987217,0.0127828
12.6,0.987192,0.0128078
12.7,0.987167,0.012833
12.8,0.987142,0.0128581
12.9,0.987117,0.0128833
13,0.987091,0.0129086
13.1,0.987066,0.0129339
13.2,0.987041,0.0129593
13.3,0.987015,0.0129847
13.4,0.98699,0.0130102
13.5,0.986964,0.0130357
13.6,0.986939,0.0130613
13.7,0.986913,0.0130869
13.8,0.986887,0.0131125
13.9,0.986862,0.0131382
14,0.986836,0.013164
14.1,0.98681,0.0131898
14.2,0.986784,0.0132157
14.3,0.986758,0.0132416
14.4,0.986732,0.0132675
14.5,0.986706,0.0132935
14.6,0.98668,0.0133196
14.7,0.986654,0.0133457
14.8,0.986628,0.0133718
14.9,0.986602,0.0133981
15,0.986576,0.0134243
15.1,0.986549,0.0134506
15.2,0.986523,0.013477
15.3,0.986497,0.0135034
15.4,0.98647,0.0135299
15.5,0.986444,0.0135564
15.6,0.986417,0.0135829
15.7,0.98639,0.0136095
15.8,0.986364,0.0136362
15.9,0.986337,0.0136629
16,0.98631,0.0136897
16.1,0.986284,0.0137165
16.2,0.986257,0.0137434
16.3,0.98623,0.0137703
16.4,0.986203,0.0137973
16.5,0.986176,0.0138243
16.6,0.986149,0.0138514
16.7,0.986122,0.0138785
16.8,0.986094,0.0139057
16.9,0.986067,0.0139329
17,0.98604,0.0139602
17.1,0.986012,0.0139875
17.2,0.985985,0.0140149
17.3,0.985958,0.0140423
17.4,0.98593,0.0140698
17.5,0.985903,0.0140974
17.6,0.985875,0.014125
17.7,0.985847,0.0141526
17.8,0.98582,0.0141803
17.9,0.985792,0.0142081
18,0.985764,0.0142359
18.1,0.985736,0.0142638
18.2,0.985708,0.0142917
18.3,0.98568,0.0143197
18.4,0.985652,0.0143477
18.5,0.985624,0.0143758
18.6,0.985596,0.0144039
18.7,0.985568,0.0144321
18.8,0.98554,0.0144603
18.9,0.985511,0.0144886
19,0.985483,0.014517
19.1,0.985455,0.0145454
19.2,0.985426,0.0145738
19.3,0.985398,0.0146023
19.4,0.985369,0.0146309
19.5,0.98534,0.0146595
19.6,0.985312,0.0146882
19.7,0.985283,0.0147169
19.8,0.985254,0.0147457
19.9,0.985225,0.0147745
20,0.985197,0.0148034
20.1,0.985168,0.0148324
20.2,0.985139,0.0148614
20.3,0.98511,0.0148904
20.4,0.98508,0.0149196
20.5,0.985051,0.0149487
20.6,0.985022,0.014978
20.7,0.984993,0.0150072
20.8,0.984963,0.0150366
20.9,0.984934,0.015066
21,0.984905,0.0150954
21.1,0.984875,0.0151249
21.2,0.984846,0.0151545
21.3,0.984816,0.0151841
21.4,0.984786,0.0152138
21.5,0.984756,0.0152435
21.6,0.984727,0.0152733
21.7,0.984697,0.0153032
21.8,0.984667,0.0153331
21.9,0.984637,0.015363
22,0.984607,0.015393
22.1,0.984577,0.0154231
22.2,0.984547,0.0154532
22.3,0.984517,0.0154834
22.4,0.984486,0.0155137
22.5,0.984456,0.015544
22.6,0.984426,0.0155744
22.7,0.984395,0.0156048
22.8,0.984365,0.0156353
22.9,0.984334,0.0156658
23,0.984304,0.0156964
23.1,0.984273,0.015727
23.2,0.984242,0.0157578
23.3,0.984211,0.0157885
23.4,0.984181,0.0158194
23.5,0.98415,0.0158502
23.6,0.984119,0.0158812
23.7,0.984088,0.0159122
23.8,0.984057,0.0159433
23.9,0.984026,0.0159744
24,0.983994,0.0160056
24.1,0.983963,0.0160368
24.2,0.983932,0.0160681
24.3,0.983901,0.0160995
24.4,0.983869,0.0161309
24.5,0.983838,0.0161624
24.6,0.983806,0.0161939
24.7,0.983774,0.0162255
24.8,0.983743,0.0162572
24.9,0.983711,0.0162889
25,0.983679,0.0163207
25.1,0.983647,0.0163525
25.2,0.983616,0.0163844
25.3,0.983584,0.0164164
25.4,0.983552,0.0164484
25.5,0.98352,0.0164805
25.6,0.983487,0.0165126
25.7,0.983455,0.0165449
25.8,0.983423,0.0165771
25.9,0.983391,0.0166095
26,0.983358,0.0166418
26.1,0.983326,0.0166743
26.2,0.983293,0.0167068
26.3,0.983261,0.0167394
26.4,0.983228,0.016772
26.5,0.983195,0.0168047
26.6,0.983163,0.0168375
26.7,0.98313,0.0168703
26.8,0.983097,0.0169032
26.9,0.983064,0.0169361
27,0.983031,0.0169692
27.1,0.982998,0.0170022
27.2,0.982965,0.0170354
27.3,0.982931,0.0170686
27.4,0.982898,0.0171018
27.5,0.982865,0.0171352
27.6,0.982831,0.0171685
27.7,0.982798,0.017202
27.8,0.982764,0.0172355
27.9,0.982731,0.0172691
28,0.982697,0.0173027
28.1,0.982664,0.0173364
28.2,0.98263,0.0173702
28.3,0.982596,0.0174041
28.4,0.982562,0.017438
28.5,0.982528,0.0174719
28.6,0.982494,0.0175059
28.7,0.98246,0.01754
28.8,0.982426,0.0175742
28.9,0.982392,0.0176084
29,0.982357,0.0176427
29.1,0.982323,0.0176771
29.2,0.982289,0.0177115
29.3,0.982254,0.017746
29.4,0.982219,0.0177805
29.5,0.982185,0.0178151
29.6,0.98215,0.0178498
29.7,0.982115,0.0178845
29.8,0.982081,0.0179193
29.9,0.982046,0.0179542
30,0.982011,0.0179892
30.1,0.981976,0.0180242
30.2,0.981941,0.0180592
30.3,0.981906,0.0180944
30.4,0.98187,0.0181296
30.5,0.981835,0.0181649
30.6,0.9818,0.0182002
30.7,0.981764,0.0182356
30.8,0.981729,0.0182711
30.9,0.981693,0.0183066
31,0.981658,0.0183422
31.1,0.981622,0.0183779
31.2,0.981586,0.0184136
31.3,0.981551,0.0184495
31.4,0.981515,0.0184853
31.5,0.981479,0.0185213
31.6,0.981443,0.0185573
31.7,0.981407,0.0185934
31.8,0.98137,0.0186295
31.9,0.981334,0.0186657
32,0.981298,0.018702
32.1,0.981262,0.0187384
32.2,0.981225,0.0187748
32.3,0.981189,0.0188113
32.4,0.981152,0.0188479
32.5,0.981116,0.0188845
32.6,0.981079,0.0189212
32.7,0.981042,0.018958
32.8,0.981005,0.0189948
32.9,0.980968,0.0190317
33,0.980931,0.0190687
33.1,0.980894,0.0191057
33.2,0.980857,0.0191428
33.3,0.98082,0.01918
33.4,0.980783,0.0192173
33.5,0.980745,0.0192546
33.6,0.980708,0.019292
33.7,0.980671,0.0193295
33.8,0.980633,0.019367
33.9,0.980595,0.0194046
34,0.980558,0.0194423
34.1,0.98052,0.0194801
34.2,0.980482,0.0195179
34.3,0.980444,0.0195558
34.4,0.980406,0.0195937
34.5,0.980368,0.0196318
34.6,0.98033,0.0196699
34.7,0.980292,0.0197081
34.8,0.980254,0.0197463
34.9,0.980215,0.0197846
35,0.980177,0.019823
35.1,0.980139,0.0198615
35.2,0.9801,0.0199
35.3,0.980061,0.0199386
35.4,0.980023,0.0199773
35.5,0.979984,0.0200161
35.6,0.979945,0.0200549
35.7,0.979906,0.0200938
35.8,0.979867,0.0201328
35.9,0.979828,0.0201718
36,0.979789,0.020211
36.1,0.97975,0.0202502
36.2,0.979711,0.0202894
36.3,0.979671,0.0203288
36.4,0.979632,0.0203682
36.5,0.979592,0.0204077
36.6,0.979553,0.0204473
36.7,0.979513,0.0204869
36.8,0.979473,0.0205266
36.9,0.979434,0.0205664
37,0.979394,0.0206063
37.1,0.979354,0.0206462
37.2,0.979314,0.0206862
37.3,0.979274,0.0207263
37.4,0.979234,0.0207665
37.5,0.979193,0.0208067
37.6,0.979153,0.020847
37.7,0.979113,0.0208874
37.8,0.979072,0.0209279
37.9,0.979032,0.0209684
38,0.978991,0.021009
38.1,0.97895,0.0210497
38.2,0.978909,0.0210905
38.3,0.978869,0.0211313
38.4,0.978828,0.0211723
38.5,0.978787,0.0212133
38.6,0.978746,0.0212543
38.7,0.978704,0.0212955
38.8,0.978663,0.0213367
38.9,0.978622,0.021378
39,0.978581,0.0214194
39.1,0.978539,0.0214609
39.2,0.978498,0.0215024
39.3,0.978456,0.021544
39.4,0.978414,0.0215857
39.5,0.978372,0.0216275
39.6,0.978331,0.0216694
39.7,0.978289,0.0217113
39.8,0.978247,0.0217533
39.9,0.978205,0.0217954
40,0.978162,0.0218376
40.1,0.97812,0.0218798
40.2,0.978078,0.0219221
40.3,0.978035,0.0219645
40.4,0.977993,0.022007
40.5,0.97795,0.0220496
40.6,0.977908,0.0220922
40.7,0.977865,0.0221349
40.8,0.977822,0.0221777
40.9,0.977779,0.0222206
41,0.977736,0.0222636
41.1,0.977693,0.0223066
41.2,0.97765,0.0223497
41.3,0.977607,0.0223929
41.4,0.977564,0.0224362
41.5,0.97752,0.0224796
41.6,0.977477,0.022523
41.7,0.977433,0.0225665
